Conflict,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
2_6591_6895,0.7778475880622864,0.0,0.0,0.0,0.0,0.0,0.0,0.13566695153713226,0.0,0.0835934653878212,0.0,0.0
1_6591_6773,0.09990058839321136,0.8951292037963867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_6591_6789,0.09990058839321136,0.8951292037963867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_6600_6886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03552216663956642,0.0,0.2850647270679474,0.1940697580575943,0.48391786217689514
2_6600_6895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3712981343269348,0.0,0.0,0.43252742290496826,0.19408726692199707
1_6600_6773,0.2990826964378357,0.09993360191583633,0.0,0.0,0.3323137164115906,0.0,0.0,0.0,0.2660139799118042,0.0,0.0,0.0
1_6600_6789,0.1986166089773178,0.5230520367622375,0.0,0.0,0.0,0.0,0.0,0.0,0.26943808794021606,0.0,0.0,0.0
1_6613_6789,0.0,0.0,0.0,0.0,0.0,0.0,0.13763268291950226,0.0,0.8588111400604248,0.0,0.0,0.0
2_6645_6886,0.15351486206054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25603798031806946,0.5870015621185303
2_6645_6895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23777084052562714,0.4367559552192688,0.32189038395881653
1_6645_6789,0.0,0.0,0.0,0.0,0.8020398020744324,0.0,0.0,0.0,0.19579191505908966,0.0,0.0,0.0
2_6920_6886,0.0,0.0,0.40790626406669617,0.0,0.0,0.0,0.0,0.03049909695982933,0.0,0.0,0.09922735393047333,0.459951788187027
2_6920_6895,0.38786637783050537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0705665647983551,0.5390753746032715
